pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_voltage_raw_v,jsy_current_raw_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase,setpoint_bar,episode_id,is_decision,t_rel,error
2026-07-02T01:40:40.350,2776532,506,0.4035333333333333,0.5920666666666666,0.2767333333333333,95.0,5000,209.0,1,206.54,0.679,207.72,0.755,156,0.994,0.07,2113,1,95.0,4,4 keran stabil,stable,0.3,1,0,54.099,0.023266666666666713
2026-07-02T01:40:40.849,2777067,497,0.404,0.5908,0.2728,95.0,5000,209.0,1,206.54,0.679,207.72,0.755,156,0.994,0.07,2113,1,95.0,4,4 keran stabil,stable,0.3,1,0,54.598,0.027200000000000002
2026-07-02T01:40:41.348,2777537,506,0.4031333333333334,0.5898,0.2698666666666666,95.0,5000,209.0,1,206.54,0.679,207.72,0.755,156,0.994,0.07,2113,1,95.0,4,4 keran stabil,stable,0.3,1,0,55.097,0.0301333333333334
2026-07-02T01:40:41.848,2778072,496,0.4028666666666666,0.5898,0.2691333333333333,95.0,5000,209.0,1,206.54,0.679,207.72,0.755,156,0.994,0.07,2113,1,95.0,4,4 keran stabil,stable,0.3,1,0,55.597,0.03086666666666671
2026-07-02T01:40:42.347,2778542,547,0.4094666666666667,0.5974666666666667,0.2922,95.0,5000,209.0,1,206.59,0.68,207.77,0.756,157,0.999,0.07,2113,1,95.0,4,4 keran stabil,stable,0.3,1,0,56.096,0.007799999999999974
2026-07-02T01:40:42.844,2779077,544,0.4215333333333333,0.6152,0.3456,95.0,5000,209.0,1,206.59,0.68,207.77,0.756,157,0.999,0.07,2113,1,95.0,4,4 keran stabil,stable,0.3,1,0,56.593,-0.04560000000000003
2026-07-02T01:40:43.347,2779546,546,0.4307333333333333,0.6292666666666666,0.3875333333333333,95.0,5000,209.0,1,206.49,0.718,207.67,0.794,164,0.994,0.07,2113,1,95.0,4,4 keran stabil,stable,0.3,1,0,57.096,-0.0875333333333333
2026-07-02T01:40:43.865,2780081,527,0.4374,0.6427999999999999,0.4285333333333333,92.29,5000,203.03,1,206.49,0.718,207.67,0.794,164,0.994,0.07,2113,1,92.29,4,4 keran stabil,stable,0.3,1,0,57.614,-0.12853333333333333
2026-07-02T01:40:44.420,2780658,538,0.4361333333333333,0.641,0.4225333333333333,92.29,5000,203.03,1,206.47,0.721,207.65,0.797,165,0.996,0.07,2113,1,92.29,4,4 keran stabil,stable,0.3,1,0,58.169,-0.12253333333333333
2026-07-02T01:40:45.015,2781234,540,0.4347333333333333,0.6387333333333333,0.4158666666666666,92.29,5000,203.03,1,200.02,0.715,201.53,0.791,159,0.997,0.07,2113,1,92.29,4,4 keran stabil,stable,0.3,1,0,58.764,-0.11586666666666662
2026-07-02T01:40:45.537,2781770,544,0.4347333333333333,0.6358,0.4065333333333333,92.29,5000,203.03,1,200.02,0.715,201.53,0.791,159,0.997,0.07,2113,1,92.29,4,4 keran stabil,stable,0.3,1,0,59.286,-0.10653333333333331
2026-07-02T01:40:46.031,2782239,548,0.4348,0.6356,0.4059333333333333,92.29,5000,203.03,1,199.98,0.716,201.49,0.792,159,0.996,0.07,2113,1,92.29,4,4 keran stabil,stable,0.3,1,0,59.78,-0.10593333333333332
2026-07-02T01:40:46.558,2782774,541,0.4351333333333333,0.6358,0.4064,92.29,5000,203.03,1,199.98,0.716,201.49,0.792,159,0.996,0.07,2113,1,92.29,3,3 keran stabil,stable,0.3,1,0,60.307,-0.1064
2026-07-02T01:40:47.126,2783351,539,0.4345333333333333,0.6350666666666667,0.4046666666666667,89.84,5000,197.65,1,199.17,0.714,200.72,0.79,158,0.996,0.07,2113,1,89.84,3,3 keran stabil,stable,0.3,1,0,60.875,-0.10466666666666669
2026-07-02T01:40:47.687,2783886,525,0.4322666666666667,0.6326,0.3976666666666666,89.84,5000,197.65,1,199.17,0.714,200.72,0.79,158,0.996,0.07,2113,1,89.84,3,3 keran stabil,stable,0.3,1,0,61.436,-0.09766666666666662
2026-07-02T01:40:48.248,2784463,534,0.4311999999999999,0.6313333333333334,0.3942,89.84,5000,197.65,1,194.43,0.714,196.22,0.79,154,0.993,0.07,2113,1,89.84,3,3 keran stabil,stable,0.3,1,0,61.997,-0.0942
2026-07-02T01:40:48.746,2784998,544,0.4327333333333333,0.6310666666666667,0.3932666666666666,89.84,5000,197.65,1,194.43,0.714,196.22,0.79,154,0.993,0.07,2113,1,89.84,3,3 keran stabil,stable,0.3,1,0,62.495,-0.09326666666666661
2026-07-02T01:40:49.244,2785467,532,0.4330666666666666,0.6314,0.3947333333333333,89.84,5000,197.65,1,194.41,0.713,196.2,0.789,154,0.994,0.07,2113,1,89.84,3,3 keran stabil,stable,0.3,1,0,62.993,-0.09473333333333334
2026-07-02T01:40:49.795,2786002,535,0.431,0.6308666666666667,0.393,87.43,5000,192.34,1,194.41,0.713,196.2,0.789,154,0.994,0.07,2113,1,87.43,3,3 keran stabil,stable,0.3,1,0,63.544,-0.09300000000000003
2026-07-02T01:40:50.360,2786579,530,0.4275333333333334,0.6286,0.3863333333333333,87.43,5000,192.34,1,194.05,0.713,195.86,0.789,154,0.996,0.07,2113,1,87.43,3,3 keran stabil,stable,0.3,1,0,64.109,-0.08633333333333332
2026-07-02T01:40:50.862,2787114,523,0.4248,0.6268666666666667,0.3807333333333333,87.43,5000,192.34,1,194.05,0.713,195.86,0.789,154,0.996,0.07,2113,1,87.43,3,3 keran stabil,stable,0.3,1,0,64.611,-0.08073333333333332
2026-07-02T01:40:51.359,2787584,514,0.4252666666666666,0.6256,0.377,87.43,5000,192.34,1,188.83,0.714,190.91,0.79,150,0.994,0.07,2113,1,87.43,3,3 keran stabil,stable,0.3,1,0,65.108,-0.07700000000000001
2026-07-02T01:40:51.860,2788119,522,0.4244,0.6247333333333334,0.3740666666666666,87.43,5000,192.34,1,188.83,0.714,190.91,0.79,150,0.994,0.07,2113,1,87.43,3,3 keran stabil,stable,0.3,1,0,65.609,-0.07406666666666661
2026-07-02T01:40:52.358,2788589,540,0.4248,0.625,0.3748666666666667,87.43,5000,192.34,1,188.81,0.714,190.89,0.79,150,0.994,0.07,2113,1,87.43,3,3 keran stabil,stable,0.3,1,0,66.107,-0.07486666666666669
2026-07-02T01:40:52.858,2789124,520,0.4241333333333333,0.6244666666666667,0.3733333333333333,85.2,5000,187.43,1,188.81,0.714,190.89,0.79,150,0.994,0.07,2113,1,85.2,3,3 keran stabil,stable,0.3,1,0,66.607,-0.0733333333333333
2026-07-02T01:40:53.357,2789593,554,0.4252,0.6233333333333333,0.3699333333333333,85.2,5000,187.43,1,188.67,0.712,190.75,0.788,149,0.991,0.07,2113,1,85.2,3,3 keran stabil,stable,0.3,1,0,67.106,-0.06993333333333329
2026-07-02T01:40:53.860,2790128,525,0.4244,0.6207999999999999,0.3624666666666666,85.2,5000,187.43,1,188.67,0.712,190.75,0.788,149,0.991,0.07,2113,1,85.2,3,3 keran stabil,stable,0.3,1,0,67.609,-0.062466666666666615
2026-07-02T01:40:54.358,2790598,528,0.422,0.6185333333333334,0.3555333333333333,85.2,5000,187.43,1,183.74,0.712,186.07,0.788,146,0.995,0.07,2113,1,85.2,3,3 keran stabil,stable,0.3,1,0,68.107,-0.05553333333333332
2026-07-02T01:40:54.859,2791133,523,0.4226666666666666,0.618,0.3539333333333333,85.2,5000,187.43,1,183.74,0.712,186.07,0.788,146,0.995,0.07,2113,1,85.2,3,3 keran stabil,stable,0.3,1,0,68.608,-0.05393333333333333
2026-07-02T01:40:55.360,2791603,524,0.4196,0.6178666666666667,0.3536666666666666,85.2,5000,187.43,1,183.79,0.712,186.12,0.788,146,0.995,0.07,2113,1,85.2,3,3 keran stabil,stable,0.3,1,0,69.109,-0.053666666666666585
2026-07-02T01:40:55.861,2792138,522,0.4194666666666666,0.6169333333333333,0.3510666666666667,83.15,5000,182.93,1,183.79,0.712,186.12,0.788,146,0.995,0.07,2113,1,83.15,3,3 keran stabil,stable,0.3,1,0,69.61,-0.051066666666666705
2026-07-02T01:40:56.357,2792607,520,0.4164,0.6146666666666667,0.3441333333333333,83.15,5000,182.93,1,183.81,0.711,186.14,0.787,145,0.989,0.07,2113,1,83.15,3,3 keran stabil,stable,0.3,1,0,70.106,-0.0441333333333333
2026-07-02T01:40:56.858,2793142,525,0.4172666666666666,0.6119333333333333,0.3355333333333333,83.15,5000,182.93,1,183.81,0.711,186.14,0.787,145,0.989,0.07,2113,1,83.15,3,3 keran stabil,stable,0.3,1,0,70.607,-0.035533333333333306
