sample_no,voltage_v,sample_index,voltage_abs_v
556,-4.0,555,4.0
557,-4.0,556,4.0
558,-4.0,557,4.0
559,-4.0,558,4.0
560,-4.0,559,4.0
561,-84.0,560,84.0
562,-188.0,561,188.0
563,-252.0,562,252.0
564,-292.0,563,292.0
565,-308.0,564,308.0
566,-324.0,565,324.0
567,-308.0,566,308.0
568,-252.0,567,252.0
569,-172.0,568,172.0
570,-84.0,569,84.0
571,-4.0,570,4.0
572,-12.0,571,12.0
573,-4.0,572,4.0
574,-4.0,573,4.0
575,-4.0,574,4.0
576,-4.0,575,4.0
577,-4.0,576,4.0
578,-4.0,577,4.0
579,-12.0,578,12.0
580,-12.0,579,12.0
581,-84.0,580,84.0
582,-180.0,581,180.0
583,-252.0,582,252.0
584,-292.0,583,292.0
585,-308.0,584,308.0
586,-316.0,585,316.0
587,-308.0,586,308.0
588,-260.0,587,260.0
589,-172.0,588,172.0
590,-92.0,589,92.0
591,-12.0,590,12.0
592,-12.0,591,12.0
593,-4.0,592,4.0
594,-4.0,593,4.0
595,-4.0,594,4.0
596,-4.0,595,4.0
597,-4.0,596,4.0
598,-4.0,597,4.0
599,-4.0,598,4.0
600,-4.0,599,4.0
601,-84.0,600,84.0
602,-188.0,601,188.0
603,-260.0,602,260.0
604,-300.0,603,300.0
605,-308.0,604,308.0
606,-316.0,605,316.0
607,-308.0,606,308.0
608,-244.0,607,244.0
609,-172.0,608,172.0
610,-84.0,609,84.0
611,-12.0,610,12.0
612,-4.0,611,4.0
613,-4.0,612,4.0
614,-4.0,613,4.0
615,-4.0,614,4.0
616,-4.0,615,4.0
617,-4.0,616,4.0
618,-4.0,617,4.0
619,-4.0,618,4.0
620,-4.0,619,4.0
621,-84.0,620,84.0
622,-180.0,621,180.0
623,-260.0,622,260.0
624,-300.0,623,300.0
625,-308.0,624,308.0
626,-316.0,625,316.0
627,-308.0,626,308.0
628,-260.0,627,260.0
629,-180.0,628,180.0
630,-92.0,629,92.0
631,-4.0,630,4.0
632,-12.0,631,12.0
633,-4.0,632,4.0
634,-4.0,633,4.0
635,-4.0,634,4.0
636,-12.0,635,12.0
637,-4.0,636,4.0
638,-4.0,637,4.0
639,-4.0,638,4.0
640,-4.0,639,4.0
641,-84.0,640,84.0
642,-180.0,641,180.0
643,-260.0,642,260.0
644,-300.0,643,300.0
645,-316.0,644,316.0
646,-316.0,645,316.0
647,-316.0,646,316.0
648,-252.0,647,252.0
649,-180.0,648,180.0
650,-84.0,649,84.0
651,-4.0,650,4.0
652,-4.0,651,4.0
653,-4.0,652,4.0
654,-4.0,653,4.0
655,-4.0,654,4.0
656,-4.0,655,4.0
657,-4.0,656,4.0
658,-4.0,657,4.0
659,-12.0,658,12.0
660,-4.0,659,4.0
661,-76.0,660,76.0
662,-180.0,661,180.0
663,-244.0,662,244.0
664,-292.0,663,292.0
665,-308.0,664,308.0
666,-316.0,665,316.0
667,-308.0,666,308.0
668,-260.0,667,260.0
669,-180.0,668,180.0
670,-92.0,669,92.0
671,-4.0,670,4.0
672,-4.0,671,4.0
673,-4.0,672,4.0
674,-4.0,673,4.0
675,-12.0,674,12.0
676,-4.0,675,4.0
677,-4.0,676,4.0
678,-4.0,677,4.0
679,-4.0,678,4.0
680,-4.0,679,4.0
681,-84.0,680,84.0
682,-180.0,681,180.0
683,-252.0,682,252.0
684,-292.0,683,292.0
685,-308.0,684,308.0
686,-316.0,685,316.0
687,-308.0,686,308.0
688,-260.0,687,260.0
689,-180.0,688,180.0
690,-92.0,689,92.0
691,-4.0,690,4.0
692,-4.0,691,4.0
693,-4.0,692,4.0
694,-4.0,693,4.0
695,-4.0,694,4.0
696,-4.0,695,4.0
697,-4.0,696,4.0
698,-4.0,697,4.0
699,-12.0,698,12.0
700,-12.0,699,12.0
